Full Name,Attribute Name,Entity Name,Business Name,Acronym,Full Term
oracle.npofe02p.ods.fin_inst_idn_acct_ecl.acct_aif_in,Account Aif Indicator,FINANCIAL INSTITUTION INFORMATION DELIVERY NETWORK ACCOUNT EXPECTED CREDIT LOSS,Account Account In Force Indicator,AIF,Account In Force
oracle.npofe02p.ods.pre_idn_acct_ecl.acct_aif_in,Account Aif Indicator,PRE-STAGE INFORMATION DELIVERY NETWORK ACCOUNT EXPECTED CREDIT LOSS,Account Account In Force Indicator,AIF,Account In Force
oracle.npofe02p.ods.rua_stg_party_master.v_acquired_channel,Party Acq Channel,RESTATEMENT UTILITY APPLICATION STAGE PARTY MASTER,Party Acquisition Channel,ACQ,Acquisition
oracle.npofe02p.ods.ods_rr_stg_manual_rep_line.v_ads_id,Ads Identifier,OPERATIONAL DATA STORE RR STAGE MANUAL REPEAT LINE,Active Directory Service User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.ods_rr_stg_account_entries.v_ads_id,Ads Identiifer,OPERATIONAL DATA STORE RR STAGE ACCOUNTING ENTRIES,Active Directory Service User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_qtm_term_dep_cntrct.ads_user_id,Ads User Id,PRE-STAGE QUANTUM TERM DEPOSIT CONTRACTS,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.term_dep_cntrct_bal.ads_user_id,Ads User Id,TERM DEPOSIT CONTRACT BALANCE,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_bcd_term_dep_cntrct.ads_user_id,Ads User Id,PRE-STAGE BROKERCD TERM DEPOSIT CONTRACTS,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_gl_trans_rule.ads_user_id,Ads User Identification,PRE-STAGE GENERAL LEDGER TRANSACTION RULE,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_gl_smry_rule.ads_user_id,Ads User Identification,PRE-STAGE GENERAL LEDGER SUMMARY RULE,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_gl_rpt_ctgy_updt.ads_user_id,Ads User Identification,PRE-STAGE GENERAL LEDGER REPORT CATEGORY UPDATE,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.intl_ods_shrt_term_invst.ads_user_id,Ads User Identifier,INTERNATIONAL OPERATIONAL DATA STORE SHORT TERM INVESTMENT,Active Directory Services User Identifier,ADS,Active Directory Services
oracle.npofe02p.ods.pre_tss_dbt_inst_brw_cntrct.ads_user_id,Ads User Identifier,PRE-STAGE TSS DEBT INSTRUMENTS BORROWING CONTRACTS,Active Directory Services User Identifier,ADS,Active Directory Services
